County,SalesTax,Location 1
Montgomery County,0.06975,"Bigspring
(32.240415, -101.472454)"
Scott County,0.06225,"Benton
(34.569286, -92.585398)"
Iron County,0.06225,"Belleview
(29.060425, -82.050952)"
Ripley County,0.06225,"Briar
(32.986486, -97.518535)"
Jackson County,0.081,"Blue Springs Central Jackson County Fire Protection District
(37.225855, -80.410073)"
Stone County,0.08475,"Branson West
(36.697091, -93.369329)"
St Louis County,0.09613,"Brentwood (t5) Hanley Rd Corridor Tdd
(31.718757, -98.986454)"
Harrison County,0.05975,"Cainsville
(40.441679, -93.775749)"
Barry County,0.06225,"Arrow Point
(36.545336, -93.6194)"
Audrain County,0.0685,"Benton City
(46.264916, -119.487553)"
Cape Girardeau County,0.05225,"Burfordville
(37.368169, -89.810335)"
St Louis County,0.07613,"Bel-nor
(38.706067, -90.315076)"
Stoddard County,0.06663,"Bell City
(30.1131, -92.962502)"
St Louis County,0.08925,"Berkeley (t1)
(40.692529, -73.990996)"
St Louis County,0.07613,"Bella Villa (x1)
(38.512629, -89.984229)"
Linn County,0.08225,"Browning
(48.555945, -113.013421)"
Caldwell County,0.07725,"Breckenridge
(39.498185, -106.046225)"
St Louis County,0.08613,"Brentwood (t6)
(31.718757, -98.986454)"
Cooper County,0.09225,"Boonville Boonville Riverfront Tdd
(38.97354, -92.743213)"
Gasconade County,0.081,"Bland
(38.302711, -91.63645)"
Jasper County,0.0795,"Carl Junction
(37.176767, -94.564947)"
Jackson County,0.066,"Blue Summit
(37.828799, -75.618998)"
Texas County,0.061,"Bendavis
(37.298302, -92.207199)"
Gasconade County,0.061,"Bay
(38.943547, -76.730278)"
Taney County,0.086,"Branson Branson Lakes Area Tced
(25.903046, -97.498884)"
St Louis County,0.09363,"Bridgeton 370/mo Bottom Rd/taussig Rd Tdd
(41.179195, -73.189476)"
Henry County,0.05675,"Brownington
(44.836529, -72.167931)"
Bates County,0.06225,"Amsterdam
(42.937753, -74.190343)"
St Francois County,0.0785,"Bismarck
(46.80537, -100.781609)"
Jefferson County,0.071,"Barnhart Rock Community Fire Protection District
(47.567371, -122.63293)"
Dekalb County,0.08725,"Cameron
(30.854242, -96.977787)"
Cooper County,0.07225,"Bunceton
(38.788165, -92.799356)"
Taney County,0.061,"Bradleyville
(36.781088, -92.910598)"
Pemiscot County,0.08225,"Caruthersville
(36.190846, -89.65555)"
Cedar County,0.06225,"Caplinger Mills
(37.794201, -93.804199)"
Perry County,0.061,"Brazeau
(37.630969, -89.58536)"
Jefferson County,0.0835,"Arnold
(38.25106, -120.357685)"
Barry County,0.07225,"Butterfield
(44.27627, -84.953368)"
Dallas County,0.07725,"Buffalo
(42.887691, -78.879374)"
Andrew County,0.06425,"Bolckow
(40.113274, -94.821394)"
St Louis County,0.07863,"Breckenridge Hills
(38.712573, -90.360264)"
Jackson County,0.076,"Blue Springs
(39.0239, -94.276029)"
Nodaway County,0.06225,"Burlington Junction
(40.447515, -95.06719)"
Gasconade County,0.061,"Canaan
(43.646472, -72.011058)"
Iron County,0.08225,"Annapolis
(38.97829, -76.495683)"
New Madrid County,0.06225,"Catron
(36.613141, -89.707307)"
Bollinger County,0.0585,"Arab
(34.316833, -86.49582)"
St Louis County,0.07613,"Calverton Park
(38.763732, -90.313765)"
Mississippi County,0.05975,"Anniston
(36.824952, -89.328319)"
Ste Genevieve County,0.07725,"Bloomsdale
(38.009398, -90.217666)"
Holt County,0.06725,"Bigelow
(45.080799, -70.321098)"
St Louis County,0.08113,"Ballwin (x4)
(41.698264, -88.077915)"
Polk County,0.056,"Brighton
(39.986767, -104.812604)"
St Louis County,0.09113,"Berkeley
(37.869058, -122.270455)"
Osage County,0.06475,"Bonnots Mill
(38.577737, -91.966205)"
St Charles County,0.0745,"Augusta
(33.472494, -81.964397)"
Barry County,0.086,"Cassville
(36.678168, -93.868595)"
Jefferson County,0.0885,"Arnold Richardson Crossing Cid
(38.25106, -120.357685)"
Shannon County,0.05225,"Alley Springs
(41.669173, -87.73154)"
Taney County,0.096,"Branson Branson Hills Infrastructure Facilities Cid And Branson Lakes Area Tced
(25.903046, -97.498884)"
Pemiscot County,0.06725,"Brasher
(36.0639, -89.699203)"
Pulaski County,0.05975,"Big Piney
(42.538177, -110.109857)"
Christian County,0.07475,"Billings
(45.78265, -108.504578)"
Jackson County,0.076,"Buckner
(37.961899, -77.773102)"
Osage County,0.07975,"Belle
(38.229674, -81.534861)"
Clinton County,0.07725,"Cameron
(30.854242, -96.977787)"
Scotland County,0.05475,"Arbela
(40.463551, -92.01644)"
Lewis County,0.08975,"Canton
(40.797388, -81.377036)"
Grundy County,0.05725,"Brimson
(47.273995, -91.845352)"
Jasper County,0.082,"Carthage
(32.156595, -94.338483)"
Phelps County,0.0535,"Beulah
(47.263494, -101.77801)"
Cooper County,0.08225,"Boonville
(38.97354, -92.743213)"
New Madrid County,0.06225,"Canalou
(36.753884, -89.687779)"
Pike County,0.06225,"Ashburn
(39.042373, -77.487241)"
Howell County,0.05162,"Caulfield
(36.614399, -92.104698)"
Harrison County,0.05475,"Blythedale
(40.475644, -93.928124)"
Moniteau County,0.07975,"California
(40.067097, -79.894911)"
St Louis County,0.09613,"Brentwood 8750 Manchester Rd Cid
(31.718757, -98.986454)"
Henry County,0.07675,"Calhoun
(37.539402, -87.258391)"
St Louis County,0.08113,"Ballwin (t1)
(38.250663, -85.59251)"
Jefferson County,0.0835,"Byrnes Mill
(38.435943, -90.57462)"
Taney County,0.076,"Branson
(36.644159, -93.217008)"
Jefferson County,0.0685,"Cedar Hill
(32.589903, -96.954231)"
St Louis County,0.08363,"Bridgeton
(39.426945, -75.234102)"
Washington County,0.07225,"Belgrade
(45.776196, -111.177155)"
Perry County,0.061,"Altenburg
(37.630969, -89.58536)"
St Louis County,0.08363,"Bridgeton (t3)
(41.179195, -73.189476)"
Bates County,0.05225,"Amoret
(38.255005, -94.586624)"
St Louis County,0.08363,"Bridgeton (x2)
(41.179195, -73.189476)"
Stoddard County,0.06413,"Bloomfield
(40.792112, -74.194954)"
St Louis County,0.09363,"Bridgeton Hilltop Cid
(41.179195, -73.189476)"
Morgan County,0.05725,"Barnett
(31.9867, -88.904999)"
Callaway County,0.07475,"Auxvasse
(39.018784, -91.894541)"
Maries County,0.07891,"Belle
(38.229674, -81.534861)"
Carroll County,0.07225,"Carrollton
(32.975541, -96.889788)"
Jefferson County,0.0685,"Cedar Hill Lakes
(38.32969, -90.658591)"
Daviess County,0.06225,"Altamont
(42.705906, -74.035072)"
Jackson County,0.056,"Atherton
(37.461318, -122.19843)"
Oregon County,0.08225,"Alton
(38.903341, -90.149352)"
Perry County,0.061,"Belgique
(37.837502, -89.781097)"
St Louis County,0.08113,"Ballwin (x7)
(41.698264, -88.077915)"
Taney County,0.061,"Brownbranch
(36.794399, -92.830597)"
Macon County,0.0835,"Bevier
(39.748902, -92.564588)"
St Clair County,0.071,"Appleton City
(45.196559, -96.01966)"
Adair County,0.066,"Brashear
(40.148879, -92.379087)"
St Louis County,0.08113,"Ballwin (x1)
(41.698264, -88.077915)"
St Louis County,0.08363,"Bridgeton (t2)
(41.179195, -73.189476)"
Iron County,0.05725,"Bixby
(35.942372, -95.883173)"
Shelby County,0.07725,"Bethel
(60.78492, -161.764266)"
Chariton County,0.081,"Brunswick
(43.916679, -69.96599)"
Jasper County,0.0645,"Asbury
(37.819698, -80.559402)"
Harrison County,0.0785,"Bethany
(38.098301, -85.8722)"
Montgomery County,0.08475,"Bellflower
(33.882076, -118.125256)"
Pemiscot County,0.06725,"Braggadocio
(36.190174, -89.91459)"
Knox County,0.06725,"Baring
(47.76805, -121.479929)"
Camden County,0.07475,"Camdenton
(38.009226, -92.744233)"
Texas County,0.061,"Bucyrus
(40.808683, -82.974147)"
Crawford County,0.066,"Berryman
(37.9189, -91.095299)"
Dent County,0.05475,"Anutt
(37.715801, -91.719704)"
Pemiscot County,0.06725,"Bragg City
(36.268174, -89.911067)"
Henry County,0.06675,"Blairstown
(40.982126, -74.963002)"
Vernon County,0.05225,"Bronaugh
(37.694446, -94.468913)"
Miller County,0.06725,"Brumley
(38.08563, -92.491559)"
Maries County,0.06391,"Brinktown
(38.133344, -92.088933)"
Caldwell County,0.09225,"Cameron
(30.854242, -96.977787)"
Dunklin County,0.06225,"Cardwell
(37.8242, -85.034203)"
Taney County,0.091,"Branson Branson Hills Cid And Branson Lakes Area Tced
(25.903046, -97.498884)"
St Louis County,0.07863,"Bellerive
(38.709348, -90.315136)"
Cass County,0.09725,"Belton Cornerstone Pointe Tdd
(39.290443, -76.612333)"
Polk County,0.081,"Bolivar
(37.613929, -93.41462)"
Scott County,0.07975,"Cape Girardeau
(37.313167, -89.552421)"
Mississippi County,0.07475,"Bertrand
(41.786501, -86.362526)"
Jefferson County,0.066,"Barnhart
(38.341267, -90.393405)"
Jasper County,0.0545,"Avilla
(41.365732, -85.238779)"
Linn County,0.08475,"Brookfield
(43.060789, -88.119216)"
Howell County,0.05162,"Brandsville
(36.650941, -91.698414)"
Macon County,0.0785,"Atlanta
(33.748547, -84.391502)"
Cape Girardeau County,0.05225,"Allenville
(44.133099, -88.619255)"
Osage County,0.07475,"Argyle
(33.110729, -97.19411)"
Christian County,0.05975,"Bruner
(37.00695, -92.956891)"
Pike County,0.06225,"Ashley
(41.215014, -75.898809)"
St Francois County,0.0835,"Bonne Terre
(37.923077, -90.555435)"
Dade County,0.06475,"Bona
(40.669077, -74.117183)"
Cass County,0.09225,"Belton Belton/raymore Interchange Tdd
(39.290443, -76.612333)"
Caldwell County,0.07725,"Braymer
(39.590726, -93.796566)"
Stoddard County,0.07413,"Advance
(36.5158, -118.901703)"
St Louis County,0.08113,"Ballwin
(38.595104, -90.544918)"
St Louis County,0.08363,"Bel-ridge (t1)
(38.716198, -90.329192)"
Stoddard County,0.05413,"Brownwood
(31.718757, -98.986454)"
Scott County,0.05225,"Ancell
(29.164485, -95.431726)"
Taney County,0.096,"Branson Historic Downtown Branson Cid And Branson Lakes Area Tced
(25.903046, -97.498884)"
Greene County,0.05475,"Bois Darc
(37.256401, -93.5075)"
Cass County,0.08725,"Belton
(31.056417, -97.463763)"
Randolph County,0.05975,"Cairo
(37.003276, -89.173203)"
Lafayette County,0.0635,"Blackburn
(39.106412, -93.486314)"
Stone County,0.06475,"Cape Fair
(36.734861, -93.509745)"
Reynolds County,0.07725,"Bunker
(37.455137, -91.210026)"
Jefferson County,0.071,"Antonia
(31.564199, -92.409203)"
Cape Girardeau County,0.08975,"Cape Girardeau Town Plaza Cid
(37.313167, -89.552421)"
Clay County,0.06225,"Avondale
(33.43534, -112.349671)"
Cape Girardeau County,0.05225,"Appleton
(44.261982, -88.40724)"
Macon County,0.0685,"Anabel
(39.750347, -92.331607)"
Mcdonald County,0.07725,"Anderson
(40.107884, -85.67821)"
Butler County,0.05225,"Broseley
(36.674999, -90.241699)"
Chariton County,0.061,"Bynumville
(39.616699, -92.775803)"
Livingston County,0.04975,"Avalon
(33.343548, -118.32219)"
Jasper County,0.0645,"Alba
(41.707286, -76.829069)"
Lafayette County,0.0585,"Alma
(43.377637, -84.658593)"
Maries County,0.07391,"Argyle
(33.110729, -97.19411)"
Linn County,0.07225,"Bucklin
(37.551777, -99.634073)"
Lawrence County,0.0785,"Aurora
(41.75527, -88.309507)"
St Louis County,0.08113,"Ballwin (x2)
(41.698264, -88.077915)"
St Louis County,0.07613,"Bella Villa
(38.544773, -90.286344)"
Jackson County,0.056,"Blue Vue
(47.613702, -122.190934)"
Shannon County,0.07225,"Birch Tree
(36.994902, -91.492858)"
Washington County,0.07225,"Cadet
(37.984273, -90.686459)"
Stoddard County,0.07413,"Bernie
(36.672591, -89.968747)"
Douglas County,0.07725,"Ava
(36.952137, -92.660396)"
Ray County,0.06225,"Camden
(39.945208, -75.118833)"
Howard County,0.0685,"Armstrong
(43.7103, -88.194702)"
Platte County,0.056,"Beverly
(42.552163, -70.882679)"
St Louis County,0.09113,"Ballwin Clarkson Kehrs Mill Tdd
(41.698264, -88.077915)"
Jackson County,0.091,"Blue Springs Central Jackson County Fire Protection District And Adams Farm Tdd
(37.225855, -80.410073)"
Jackson County,0.091,"Blue Springs Central Jackson County Fire Protection District And Coronado Drive Tdd
(37.225855, -80.410073)"
St Louis County,0.08113,"Beverly Hills
(34.080294, -118.404679)"
Pike County,0.06225,"Annada
(39.262801, -90.828517)"
Wayne County,0.05725,"Cascade
(36.5644, -79.669998)"
Platte County,0.056,"Camden Point
(39.451643, -94.751074)"
Jefferson County,0.0935,"Arnold Arnold Retail Corridor Tdd
(38.25106, -120.357685)"
Jasper County,0.0545,"Brooklyn Heights
(41.419493, -81.679449)"
St Louis County,0.09613,"Brentwood (t6) Hanley Rd Corridor Tdd
(31.718757, -98.986454)"
Jasper County,0.0695,"Airport Drive
(37.142791, -94.513692)"
Franklin County,0.06475,"Beaufort
(32.42931, -80.686724)"
Iron County,0.07475,"Arcadia
(34.136534, -118.040889)"
Dunklin County,0.07475,"Campbell
(37.28766, -121.942432)"
Cass County,0.07475,"Archie
(31.5797, -91.967201)"
St Louis County,0.09113,"Berkeley (t2)
(40.692529, -73.990996)"
St Louis County,0.09613,"Brentwood (t8) Hanley/eager Rd Tdd
(31.718757, -98.986454)"
Ozark County,0.06725,"Brixey
(36.755015, -92.40694)"
Dunklin County,0.07225,"Arbyrd
(36.048684, -90.239596)"
St Louis County,0.08363,"Bridgeton (x1)
(41.179195, -73.189476)"
Dent County,0.05475,"Boss
(37.643169, -91.189634)"
Nodaway County,0.06225,"Arkoe
(40.258398, -94.829255)"
St Louis County,0.09613,"Brentwood Hanley Rd Corridor Tdd
(31.718757, -98.986454)"
St Louis County,0.08113,"Ballwin (x8)
(41.698264, -88.077915)"
Macon County,0.0785,"Callao
(37.9692, -76.559998)"
Bates County,0.0785,"Butler
(40.862868, -79.895187)"
Gentry County,0.07225,"Albany
(42.651242, -73.755418)"
St Louis County,0.08113,"Ballwin (x3)
(41.698264, -88.077915)"
St Louis County,0.07613,"Black Jack
(38.795857, -90.267778)"
Camden County,0.08475,"Camdenton American Center Cid
(39.945208, -75.118833)"
Cass County,0.09725,"Belton Belton Town Centre Tdd
(39.290443, -76.612333)"
St Louis County,0.08363,"Bel-ridge
(38.716198, -90.329192)"
Jasper County,0.092,"Carthage Peachtree Cid
(37.34862, -108.583778)"
Wright County,0.056,"Cedar Gap
(37.105598, -92.669403)"
Miller County,0.06225,"Bagnell
(38.230123, -92.605112)"
Dade County,0.06475,"Arcola
(40.1525, -75.456902)"
Clark County,0.07725,"Alexandria
(38.804665, -77.043614)"
Clay County,0.06225,"Birmingham
(33.522859, -86.807705)"
St Francois County,0.0635,"Blackwell
(36.804325, -97.282977)"
Greene County,0.07475,"Ash Grove
(39.1614, -98.361702)"
St Louis County,0.09613,"Brentwood (t9) Hanley Station Tdd
(31.718757, -98.986454)"
Bates County,0.07975,"Adrian
(41.895299, -84.039815)"
Sullivan County,0.08975,"Browning
(48.555945, -113.013421)"
Newton County,0.0535,"Boulder City
(35.979478, -114.836105)"
Lafayette County,0.0785,"Bates City
(39.00476, -94.072321)"
St Louis County,0.09363,"Bridgeton (t3) Hilltop Cid
(41.179195, -73.189476)"
Franklin County,0.07475,"Berger
(38.676288, -91.336237)"
St Louis County,0.08863,"Bellerive University Place Tdd
(25.893646, -80.126442)"
Jefferson County,0.0835,"Byrnes Mill Big River Ambulance District
(25.903046, -97.498884)"
St Louis County,0.08613,"Brentwood (t9)
(31.718757, -98.986454)"
Reynolds County,0.05725,"Black
(37.494005, -81.263712)"
Texas County,0.076,"Cabool
(37.123589, -92.103988)"
St Louis County,0.08363,"Ballwin (t1) Ballwin Town Center Tdd
(38.250663, -85.59251)"
Greene County,0.06975,"Battlefield
(37.124799, -93.369954)"
Holt County,0.06725,"Big Lake (village)
(45.332018, -93.745923)"
Jackson County,0.081,"Blue Springs Prairie Township Fire Protection District
(37.225855, -80.410073)"
Saline County,0.081,"Arrow Rock
(39.070495, -92.946906)"
Cass County,0.06475,"Baldwin Park
(34.08538, -117.960355)"
Jasper County,0.0545,"Carytown
(37.263331, -94.306759)"
St Louis County,0.08613,"Brentwood (t8)
(31.718757, -98.986454)"
St Louis County,0.08113,"Ballwin (x5)
(41.698264, -88.077915)"
Polk County,0.056,"Aldrich
(46.374877, -94.938746)"
Barton County,0.05725,"Burgess
(37.883099, -76.348099)"
Taney County,0.096,"Branson Branson Landing Tdd And Branson Lakes Area Tced
(25.903046, -97.498884)"
Crawford County,0.091,"Bourbon
(33.3242, -90.798599)"
Lawrence County,0.0535,"Bowers Mill
(36.052449, -95.790808)"
Buchanan County,0.05825,"Agency
(40.994907, -92.304982)"
Taney County,0.071,"Bull Creek Village
(36.649899, -93.251701)"
Saline County,0.061,"Blackburn
(39.106412, -93.486314)"
St Louis County,0.09613,"Brentwood (t7) Hanley Rd Corridor Tdd
(31.718757, -98.986454)"
Lafayette County,0.0585,"Aullville
(39.017713, -93.677683)"
St Louis County,0.08363,"Bridgeton (t4)
(41.179195, -73.189476)"
Stoddard County,0.05413,"Baker
(35.271111, -116.075051)"
Jasper County,0.0745,"Carterville
(37.760159, -89.077197)"
Dent County,0.07475,"Bunker
(37.455137, -91.210026)"
Boone County,0.07975,"Ashland
(38.475807, -82.646675)"
Pike County,0.08475,"Bowling Green
(37.002405, -86.443486)"
Washington County,0.08225,"Caledonia
(42.814847, -87.914135)"
Andrew County,0.06425,"Amazonia
(39.886068, -94.891873)"
Greene County,0.07975,"Battlefield Wilson Creek Marketplace Cid
(40.33361, -80.024065)"
Franklin County,0.06475,"Catawissa
(40.953325, -76.459359)"
Nodaway County,0.06225,"Barnard
(43.73515, -72.614848)"
Cooper County,0.06225,"Bellair
(38.0392, -78.531097)"
St Louis County,0.08363,"Bel-ridge (t2)
(38.716198, -90.329192)"
St Louis County,0.08113,"Ballwin (x6)
(41.698264, -88.077915)"
Ozark County,0.07725,"Bakersfield
(35.373405, -119.018911)"
Worth County,0.071,"Allendale
(33.007593, -81.308964)"
Jackson County,0.091,"Blue Springs Central Jackson County Fire Protection District And I-70 & Adams Dairy Parkway Tdd
(37.225855, -80.410073)"
Jefferson County,0.071,"Barnhart Antonia Fire Protection District
(47.567371, -122.63293)"
Scott County,0.05225,"Blodgett
(37.005484, -89.526175)"
Carroll County,0.05475,"Bogard
(39.458498, -93.523673)"
Carroll County,0.05475,"Bosworth
(39.469735, -93.33481)"
St Louis County,0.08613,"Brentwood (t5)
(31.718757, -98.986454)"
Cooper County,0.08225,"Blackwater
(33.031202, -111.582763)"
Cape Girardeau County,0.07975,"Cape Girardeau
(37.313167, -89.552421)"
St Louis County,0.07613,"Bellefontaine Neighbors
(38.748076, -90.224319)"
St Louis County,0.08613,"Brentwood
(40.372934, -79.975486)"
Montgomery County,0.06475,"Buell
(39.034199, -91.438904)"
Taney County,0.086,"Branson Branson Hills Infrastructure Facilities Cid
(25.903046, -97.498884)"
Gasconade County,0.071,"Gasconade
(38.669582, -91.561518)"
St Charles County,0.0895,"Cottleville Mid Rivers Commons Cid
(38.744794, -90.652126)"
Reynolds County,0.06725,"Centerville
(31.257937, -95.977508)"
